run_id,seed,experiment_id,matchup_id,matchup_label,hand_id,hand_num,opponent_family_0,opponent_family_1,agent0_type,agent1_type,board,hole_cards_0,hole_cards_1,terminal_reward_0,terminal_reward_1,showdown_winner,realized_hand_class_0,realized_hand_class_1,final_pot,n_actions
calibration_belief_calibration_aggressive_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_aggressive,calibration_belief_calibration_aggressive_s42_h000007,7,aggressive,balanced,BeliefEVAgent,HeuristicAgent,Tc 3d Td 5h,Ac 2s,9c Kc,300,0,0,weak_showdown,weak_showdown,300,2
calibration_belief_calibration_aggressive_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_aggressive,calibration_belief_calibration_aggressive_s42_h000008,8,aggressive,balanced,BeliefEVAgent,HeuristicAgent,9d 4h Qc Qh,3s 9h,7c 6c,300,0,0,strong_made,weak_showdown,300,2
calibration_belief_calibration_aggressive_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_aggressive,calibration_belief_calibration_aggressive_s42_h000009,9,aggressive,balanced,BeliefEVAgent,HeuristicAgent,7h Jc 2c 8c,2s 6s,Qs Ks,200,0,0,weak_showdown,air,200,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000000,0,maniac,balanced,BeliefEVAgent,HeuristicAgent,8h 5s 9c Th,3d 9s,5h 3c,300,0,0,weak_showdown,weak_showdown,300,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000001,1,maniac,balanced,BeliefEVAgent,HeuristicAgent,Td 7h 9d 3s Kd,4c 4s,Ac Ah,0,500,1,weak_showdown,strong_made,500,3
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000002,2,maniac,balanced,BeliefEVAgent,HeuristicAgent,3c Kd Tc 7h,Jc 9h,As 3d,150,0,0,weak_draw,weak_showdown,150,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000003,3,maniac,balanced,BeliefEVAgent,HeuristicAgent,Ad Jd 5d 7h,4d 3h,8h 4c,150,0,0,strong_draw,weak_draw,150,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000004,4,maniac,balanced,BeliefEVAgent,HeuristicAgent,Jd Ac As Qc,Kc Js,9s 2h,300,0,0,strong_made,weak_showdown,300,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000005,5,maniac,balanced,BeliefEVAgent,HeuristicAgent,4s Td 3h 5c,2c 4c,7h 5h,300,0,0,weak_showdown,weak_showdown,300,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000006,6,maniac,balanced,BeliefEVAgent,HeuristicAgent,Ts 8s Js Qs Kd,Ks Ad,Th Qd,500,0,0,nuts_or_near_nuts,strong_made,500,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000007,7,maniac,balanced,BeliefEVAgent,HeuristicAgent,Tc 3d Td 5h,Ac 2s,9c Kc,300,0,0,weak_showdown,weak_showdown,300,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000008,8,maniac,balanced,BeliefEVAgent,HeuristicAgent,9d 4h Qc Qh,3s 9h,7c 6c,300,0,0,strong_made,weak_showdown,300,2
calibration_belief_calibration_maniac_s42,42,calibration,ev_belief_vs_heuristic,belief_calibration_maniac,calibration_belief_calibration_maniac_s42_h000009,9,maniac,balanced,BeliefEVAgent,HeuristicAgent,7h Jc 2c 8c,2s 6s,Qs Ks,200,0,0,weak_showdown,air,200,2
